scenario,institution,ablation,seed,cluster_spread,bills_processed,bills_passed,passage_rate,avg_representation_distance,representation_inequality,perfect_representation_rate
fragmented,parliamentary,baseline,63,0.15,30,0,0.0,1.1062016370176475,0.43835388908759354,0.047619047619047616
fragmented,parliamentary,baseline,64,0.15,30,0,0.0,1.1934233512929862,0.5269753256502625,0.047619047619047616
fragmented,parliamentary,baseline,65,0.15,30,0,0.0,1.1405767848972743,0.5125792780086701,0.047619047619047616
fragmented,parliamentary,baseline,66,0.15,30,0,0.0,1.114052900765532,0.460055132013307,0.047619047619047616
fragmented,parliamentary,baseline,67,0.15,30,0,0.0,1.1643501939993472,0.49154189377765317,0.047619047619047616
fragmented,parliamentary,baseline,68,0.15,30,0,0.0,1.2054475774638842,0.49189690019525156,0.047619047619047616
fragmented,parliamentary,baseline,69,0.15,30,0,0.0,1.1223487143799227,0.4555105246543032,0.047619047619047616
fragmented,parliamentary,baseline,70,0.15,30,0,0.0,1.1074961197142774,0.43787168540392374,0.047619047619047616
fragmented,parliamentary,baseline,71,0.15,30,0,0.0,1.1079450742384078,0.49288356433027963,0.14285714285714285
fragmented,parliamentary,baseline,72,0.15,30,0,0.0,1.160643478408765,0.4784386816561265,0.047619047619047616
fragmented,parliamentary,baseline,73,0.15,30,0,0.0,1.1359079649854853,0.476251401858099,0.0
fragmented,parliamentary,baseline,74,0.15,30,0,0.0,1.1546630439595864,0.5423641599816678,0.09523809523809523
fragmented,parliamentary,baseline,75,0.15,30,0,0.0,1.1272530019164462,0.45346150353796083,0.047619047619047616
fragmented,parliamentary,baseline,76,0.15,30,0,0.0,1.0957983971751628,0.4423402096752361,0.09523809523809523
fragmented,parliamentary,baseline,77,0.15,30,0,0.0,1.1349907827044186,0.40747160756576745,0.0
fragmented,parliamentary,baseline,78,0.15,30,0,0.0,1.1339263864073799,0.4920729364784239,0.09523809523809523
fragmented,parliamentary,baseline,79,0.15,30,0,0.0,1.129034869307759,0.46122131952262474,0.047619047619047616
fragmented,parliamentary,baseline,80,0.15,30,0,0.0,1.0900446822742593,0.4720749229645121,0.09523809523809523
fragmented,parliamentary,baseline,81,0.15,30,0,0.0,1.104417225769704,0.5112578102313018,0.14285714285714285
fragmented,parliamentary,baseline,82,0.15,30,0,0.0,1.1250940212711507,0.45752185905380344,0.047619047619047616
fragmented,parliamentary,baseline,83,0.15,30,0,0.0,1.14466871987627,0.4979765119399051,0.09523809523809523
fragmented,parliamentary,baseline,84,0.15,30,0,0.0,1.1226093909239818,0.4904452383351682,0.047619047619047616
fragmented,parliamentary,baseline,85,0.15,30,0,0.0,1.1213644623014158,0.4858286772381526,0.09523809523809523
fragmented,parliamentary,baseline,86,0.15,30,0,0.0,1.0903558316600357,0.49632955374910814,0.14285714285714285
fragmented,parliamentary,baseline,87,0.15,30,0,0.0,1.1057829617555197,0.478988077180219,0.047619047619047616
fragmented,parliamentary,baseline,88,0.15,30,0,0.0,1.1536300517708833,0.4575798104638372,0.0
fragmented,parliamentary,baseline,89,0.15,30,0,0.0,1.1620368507690917,0.49978186254201246,0.047619047619047616
fragmented,parliamentary,baseline,90,0.15,30,0,0.0,1.1513256748293217,0.47574960363270463,0.047619047619047616
fragmented,parliamentary,baseline,91,0.15,30,0,0.0,1.0900171327629888,0.49072045618902055,0.09523809523809523
fragmented,parliamentary,baseline,92,0.15,30,0,0.0,1.18843810894724,0.441196673176021,0.047619047619047616
fragmented,parliamentary,baseline,93,0.15,30,0,0.0,1.149848012833941,0.48504907360981697,0.09523809523809523
fragmented,parliamentary,baseline,94,0.15,30,0,0.0,1.1521430652092572,0.39957074815973603,0.0
fragmented,parliamentary,baseline,95,0.15,30,0,0.0,1.1640874818151188,0.525689557726233,0.047619047619047616
fragmented,parliamentary,baseline,96,0.15,30,0,0.0,1.1191052874597651,0.42099532547911295,0.0
fragmented,parliamentary,baseline,97,0.15,30,0,0.0,1.1576086955926188,0.37792519923208484,0.047619047619047616
fragmented,parliamentary,baseline,98,0.15,30,0,0.0,1.0899448813674366,0.4154176384922976,0.047619047619047616
fragmented,parliamentary,baseline,99,0.15,30,0,0.0,1.1598190744012937,0.5096212855951799,0.047619047619047616
fragmented,parliamentary,no_discipline,0,0.15,30,8,0.26666666666666666,1.188626528816218,0.445810582060432,0.0
fragmented,parliamentary,no_discipline,1,0.15,30,9,0.3,1.1517805239356416,0.4918924906360509,0.09523809523809523
fragmented,parliamentary,no_discipline,2,0.15,30,9,0.3,1.1205261587844935,0.44353508884316717,0.0
fragmented,parliamentary,no_discipline,3,0.15,30,9,0.3,1.134484205023067,0.4543184498720117,0.0
fragmented,parliamentary,no_discipline,4,0.15,30,13,0.43333333333333335,1.0985127615634338,0.5098981041259865,0.047619047619047616
fragmented,parliamentary,no_discipline,5,0.15,30,8,0.26666666666666666,1.1420634935191905,0.4269189067153513,0.0
fragmented,parliamentary,no_discipline,6,0.15,30,9,0.3,1.1274487039675525,0.4662830122358439,0.047619047619047616
fragmented,parliamentary,no_discipline,7,0.15,30,11,0.36666666666666664,1.1361856804144332,0.4895930019340532,0.047619047619047616
fragmented,parliamentary,no_discipline,8,0.15,30,9,0.3,1.16001239287396,0.44949718656043103,0.047619047619047616
fragmented,parliamentary,no_discipline,9,0.15,30,10,0.3333333333333333,1.1196825050552934,0.42416116142605464,0.047619047619047616
fragmented,parliamentary,no_discipline,10,0.15,30,14,0.4666666666666667,1.0919685948733708,0.4830019800385369,0.047619047619047616
fragmented,parliamentary,no_discipline,11,0.15,30,9,0.3,1.1143390229924468,0.48814189388459106,0.09523809523809523
fragmented,parliamentary,no_discipline,12,0.15,30,8,0.26666666666666666,1.130246685482935,0.4441511569772045,0.047619047619047616
